ID,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit
1,49,management,married,secondary,no,104,yes,no,unknown,8,may,285,1,-1,0,unknown,no
2,59,retired,divorced,secondary,no,514,no,no,cellular,3,feb,261,1,-1,0,unknown,yes
3,33,blue-collar,married,primary,no,195,no,no,cellular,16,nov,984,5,-1,0,unknown,yes
4,58,unemployed,married,secondary,no,687,yes,no,cellular,7,aug,221,1,99,2,success,yes
5,33,admin.,married,secondary,no,1077,yes,no,cellular,18,may,432,3,374,3,other,no
6,25,services,single,secondary,no,382,yes,no,unknown,13,may,392,1,-1,0,unknown,no
7,53,technician,single,tertiary,no,1,no,no,cellular,21,aug,190,1,-1,0,unknown,no
8,53,admin.,single,secondary,no,2398,yes,no,cellular,2,aug,317,1,180,2,failure,yes
9,37,services,married,secondary,no,1498,yes,no,cellular,20,apr,107,1,-1,0,unknown,no
10,29,management,single,tertiary,no,437,no,no,cellular,5,aug,504,1,92,1,success,yes
11,28,blue-collar,single,secondary,no,4054,yes,no,cellular,11,may,133,2,-1,0,unknown,no
12,63,retired,divorced,secondary,no,859,no,no,cellular,13,feb,92,1,-1,0,unknown,no
13,35,technician,single,primary,no,744,yes,no,cellular,7,apr,1096,1,-1,0,unknown,no
14,77,retired,married,secondary,no,9601,no,no,telephone,27,mar,515,1,-1,0,unknown,yes
15,35,management,divorced,tertiary,no,3837,yes,no,unknown,8,may,1084,1,-1,0,unknown,yes
16,32,services,single,secondary,no,72,no,no,cellular,28,jul,88,9,-1,0,unknown,no
17,55,unemployed,married,tertiary,no,5345,no,no,unknown,6,may,278,1,-1,0,unknown,no
18,31,services,single,secondary,no,3,yes,no,cellular,5,may,41,1,-1,0,unknown,no
19,26,blue-collar,single,secondary,no,82,yes,no,unknown,9,may,654,1,-1,0,unknown,yes
20,25,blue-collar,single,secondary,no,0,no,no,cellular,23,apr,163,1,-1,0,unknown,yes
21,27,unknown,single,unknown,no,326,no,no,cellular,22,feb,326,1,-1,0,unknown,yes
22,44,self-employed,single,tertiary,no,18558,yes,no,cellular,20,nov,51,1,190,4,other,no
23,45,services,married,secondary,no,222,no,no,cellular,25,aug,119,11,-1,0,unknown,no
24,40,management,married,tertiary,no,-17,yes,yes,cellular,11,may,474,1,256,1,success,yes
25,42,blue-collar,married,secondary,no,879,yes,no,cellular,18,nov,140,1,-1,0,unknown,no
26,35,technician,married,secondary,no,2019,yes,yes,cellular,18,nov,83,2,144,1,failure,no
27,57,technician,married,secondary,no,458,no,yes,cellular,15,jul,177,3,-1,0,unknown,no
28,33,blue-collar,single,tertiary,no,700,no,no,cellular,9,feb,126,1,88,1,success,yes
29,58,management,single,tertiary,no,1387,yes,no,telephone,3,feb,140,6,6,6,other,no
30,53,management,married,tertiary,no,1348,no,yes,cellular,17,jul,120,3,-1,0,unknown,no
31,20,student,single,tertiary,no,2764,yes,no,unknown,29,may,139,2,-1,0,unknown,no
32,36,management,married,tertiary,no,0,yes,no,cellular,29,jan,86,1,237,17,other,no
33,37,blue-collar,married,primary,no,-106,yes,yes,cellular,12,may,690,1,-1,0,unknown,yes
34,45,blue-collar,married,secondary,no,-221,yes,yes,unknown,3,jun,170,1,-1,0,unknown,no
35,32,services,single,secondary,no,152,yes,no,cellular,25,may,158,2,-1,0,unknown,yes
36,31,blue-collar,married,primary,no,-848,yes,no,unknown,23,may,559,3,-1,0,unknown,no
37,30,admin.,single,secondary,no,223,yes,no,unknown,6,jun,862,11,-1,0,unknown,yes
38,33,admin.,single,secondary,no,5,yes,no,cellular,15,may,934,2,368,2,failure,yes
39,31,admin.,single,secondary,no,779,yes,yes,cellular,3,apr,219,2,-1,0,unknown,no
40,45,blue-collar,married,primary,no,789,no,yes,cellular,29,jan,79,1,-1,0,unknown,no
41,36,admin.,single,secondary,no,449,yes,no,unknown,20,jun,136,3,-1,0,unknown,no
42,42,unemployed,married,tertiary,no,0,no,no,cellular,8,oct,113,1,-1,0,unknown,no
43,72,retired,married,secondary,no,1533,no,no,cellular,16,dec,546,2,-1,0,unknown,yes
44,56,blue-collar,married,primary,no,136,no,no,cellular,4,aug,270,1,-1,0,unknown,no
45,33,blue-collar,married,secondary,yes,2,no,no,unknown,23,may,74,4,-1,0,unknown,no
46,48,management,married,tertiary,no,20718,yes,no,unknown,14,may,125,1,-1,0,unknown,no
47,42,blue-collar,married,primary,no,2003,yes,no,cellular,17,apr,177,3,-1,0,unknown,no
48,26,services,single,secondary,no,397,no,no,cellular,29,jan,268,1,-1,0,unknown,no
49,43,admin.,married,tertiary,no,189,yes,no,cellular,14,jul,1062,4,-1,0,unknown,yes
50,35,management,divorced,tertiary,no,1723,yes,no,cellular,25,jul,862,1,-1,0,unknown,yes
51,32,admin.,divorced,secondary,no,1611,yes,yes,unknown,13,may,93,1,-1,0,unknown,no
52,31,management,married,tertiary,no,1230,yes,no,unknown,27,may,290,4,-1,0,unknown,no
53,34,blue-collar,married,primary,no,1031,yes,no,unknown,29,may,751,3,-1,0,unknown,yes
54,53,management,married,unknown,no,2240,yes,no,cellular,2,jun,282,2,385,1,success,yes
55,70,retired,married,secondary,no,1310,no,no,cellular,15,oct,634,1,-1,0,unknown,no
56,31,management,single,tertiary,no,307,no,no,cellular,21,nov,86,2,-1,0,unknown,no
57,30,services,single,secondary,no,0,yes,no,cellular,7,jul,161,2,-1,0,unknown,no
58,25,technician,single,tertiary,no,3630,no,no,telephone,9,jun,221,7,-1,0,unknown,yes
59,31,management,married,tertiary,no,1331,no,no,cellular,3,feb,182,2,90,1,success,yes
60,31,blue-collar,married,secondary,no,812,yes,no,cellular,23,sep,245,1,-1,0,unknown,no
61,34,technician,married,tertiary,no,932,yes,no,cellular,4,jun,218,1,-1,0,unknown,no
62,60,blue-collar,married,primary,no,5,no,no,cellular,4,may,494,1,95,2,success,yes
