iter	RMSE
0	6.102465018
1	5.971697906
2	5.843732945
3	5.718510092
4	5.595970585
5	5.476056925
6	5.358712843
7	5.243883278
8	5.131514346
9	5.02155332
10	4.913948601
11	4.808649699
12	4.705607201
13	4.604772757
14	4.506099051
15	4.409539782
16	4.31504964
17	4.222584287
18	4.132100334
19	4.043555324
20	3.956907706
21	3.872116823
22	3.789142888
23	3.707946966
24	3.628490956
25	3.550737575
26	3.474650339
27	3.400193543
28	3.32733225
29	3.25603227
30	3.186260147
31	3.117983141
32	3.051169214
33	2.985787014
34	2.921805861
35	2.859195733
36	2.797927251
37	2.737971664
38	2.679300841
39	2.621887249
40	2.565703949
41	2.510724576
42	2.456923333
43	2.404274974
44	2.352754794
45	2.302338618
46	2.253002788
47	2.204724155
48	2.157480064
49	2.111248347
50	2.066007309
51	2.021735722
52	1.978412812
53	1.93601825
54	1.894532143
55	1.853935024
56	1.814207843
57	1.775331959
58	1.73728913
59	1.700061504
60	1.663631614
61	1.627982363
62	1.593097026
63	1.558959231
64	1.52555296
65	1.492862538
66	1.460872626
67	1.429568211
68	1.398934605
69	1.368957434
70	1.339622631
71	1.31091643
72	1.282825363
73	1.255336247
74	1.228436183
75	1.20211255
76	1.176352994
77	1.151145429
78	1.126478026
79	1.10233921
80	1.078717655
81	1.055602275
82	1.032982226
83	1.010846891
84	0.9891858857
85	0.9679890445
86	0.9472464213
87	0.9269482829
88	0.9070851046
89	0.8876475659
90	0.8686265459
91	0.8500131191
92	0.8317985516
93	0.8139742962
94	0.7965319891
