iter	Passed	Remaining
0	43	4296
1	83	4104
2	117	3787
3	161	3877
4	202	3856
5	248	3891
6	288	3838
7	334	3845
8	377	3814
9	427	3847
10	483	3913
11	527	3866
12	571	3826
13	617	3790
14	668	3789
15	713	3747
16	771	3765
17	836	3810
18	901	3843
19	957	3828
20	1000	3765
21	1053	3736
22	1105	3701
23	1148	3635
24	1203	3609
25	1255	3573
26	1299	3513
27	1336	3437
28	1383	3386
29	1427	3329
30	1471	3275
31	1520	3230
32	1562	3173
33	1632	3169
34	1714	3184
35	1794	3190
36	1864	3174
37	1919	3132
38	1974	3088
39	2020	3030
40	2062	2968
41	2107	2910
42	2152	2852
43	2197	2796
44	2237	2735
45	2282	2679
46	2325	2621
47	2354	2550
48	2400	2498
49	2444	2444
50	2495	2397
51	2545	2349
52	2599	2305
53	2649	2256
54	2703	2211
55	2756	2165
56	2810	2120
57	2854	2067
58	2904	2018
59	2952	1968
60	2995	1915
61	3035	1860
62	3078	1807
63	3122	1756
64	3164	1703
65	3206	1651
66	3259	1605
67	3315	1560
68	3369	1513
69	3432	1471
70	3495	1427
71	3551	1380
72	3604	1333
73	3658	1285
74	3714	1238
75	3774	1191
76	3830	1144
77	3884	1095
78	3939	1047
79	3989	997
80	4034	946
81	4075	894
82	4119	843
83	4163	793
84	4206	742
85	4247	691
86	4290	641
87	4331	590
88	4372	540
89	4409	489
90	4455	440
91	4490	390
92	4539	341
93	4583	292
94	4626	243
